isco08_code,occupation_title,task_score,task_exposure,task_description
5414,Security guards,0.175,Very Low,Performing security checks of passengers and luggage at airports;
5414,Security guards,0.15,Very Low,"Picking up and ensuring the safe delivery of cash and valuables to banks, automated teller machines and retail establishments."
5419,Protective services workers not elsewhere classified,0.1025,Very Low,Patrolling beaches and swimming pools to prevent accidents and to rescue bathers from drowning;
5419,Protective services workers not elsewhere classified,0.2125,Very Low,Monitoring traffic flow to locate safe gaps through which pedestrians can cross streets;
5419,Protective services workers not elsewhere classified,0.215,Very Low,"Responding to citizen complaints concerning stray domestic animals, livestock and wildlife, issuing warnings and citations to owners and impounding lost, homeless and dangerous animals;"
5419,Protective services workers not elsewhere classified,0.24125,Very Low,Patrolling an assigned area to enforce parking regulations;
5419,Protective services workers not elsewhere classified,0.215,Very Low,Directing traffic.
6111,Field crop and vegetable growers,0.43,Low,"Monitoring market activity and conditions, determining types and quantities of crops to be grown, and planning and coordinating production accordingly;"
6111,Field crop and vegetable growers,0.08,Very Low,"Preparing soil by hand or machine, and spreading fertilizers and manure;"
6111,Field crop and vegetable growers,0.115,Very Low,"Selecting and sowing seeds, and planting seedlings;"
6111,Field crop and vegetable growers,0.095,Very Low,"Maintaining crops by cultivating soil, by transplanting, pruning or thinning plants, and by setting up and operating irrigation equipment;"
6111,Field crop and vegetable growers,0.145,Very Low,"Controlling weeds, pests and diseases by applying herbicides and pesticides;"
6111,Field crop and vegetable growers,0.085,Very Low,Harvesting crops and destroying diseased or superfluous crops;
6111,Field crop and vegetable growers,0.135,Very Low,"Inspecting, cleaning, grading, packaging, storing and loading crops for sale or delivery to market;"
6111,Field crop and vegetable growers,0.09,Very Low,"Tending working animals and maintaining farm buildings, structures, equipment and water supply systems;"
6111,Field crop and vegetable growers,0.12,Very Low,Storing and carrying out some processing of produce;
6111,Field crop and vegetable growers,0.385,Low,"Promoting and marketing products, arranging the sale, purchase and transportation of produce and supplies and maintaining and evaluating records of farm activities and transactions;"
6111,Field crop and vegetable growers,0.2575,Low,"Training and supervising workers in crop production, maintenance duties and health and safety precautions, and hiring and discharging workers and contractors."
6112,Tree and shrub crop growers,0.43,Low,"Monitoring market activity and conditions, determining types and quantities of crops to be grown, and planning and coordinating production accordingly;"
6112,Tree and shrub crop growers,0.08,Very Low,"Preparing soil by hand or machine, and spreading fertilizers and manure;"
6112,Tree and shrub crop growers,0.115,Very Low,"Selecting and sowing seeds, and planting seedlings;"
6112,Tree and shrub crop growers,0.105,Very Low,"Maintaining crops by cultivating soil, by transplanting, pruning or thinning trees and shrubs, and by setting up and operating irrigation equipment;"
6112,Tree and shrub crop growers,0.1425,Very Low,"Controlling weeds, pests and diseases by applying herbicides and pesticides;"
6112,Tree and shrub crop growers,0.0975,Very Low,"Tending trees or bushes, collecting sap and harvesting crops;"
6112,Tree and shrub crop growers,0.135,Very Low,"Inspecting, cleaning, grading, packaging, storing and loading crops for sale or delivery to market;"
6112,Tree and shrub crop growers,0.0875,Very Low,"Tending working animals and maintaining farm buildings, structures, equipment and water supply systems;"
6112,Tree and shrub crop growers,0.1175,Very Low,Storing and carrying out some processing of produce;
6112,Tree and shrub crop growers,0.315,Low,"Promoting and marketing products, arranging the sale, purchase and transportation of produce and supplies and maintaining and evaluating records of farm activities and transactions;"
6112,Tree and shrub crop growers,0.2575,Low,"Training and supervising workers in crop production, maintenance duties, and health and safety precautions, and hiring and discharging workers and contractors."
6113,"Gardeners, horticultural and nursery growers",0.335,Low,"Monitoring market activity and conditions determining kinds and amounts of vegetables, horticultural and nursery products to be grown, and planning and coordinating production accordingly;"
6113,"Gardeners, horticultural and nursery growers",0.125,Very Low,"Preparing land by conditioning soil, levelling ground and installing and operating irrigation and drainage systems;"
6113,"Gardeners, horticultural and nursery growers",0.115,Very Low,"Planting trees, hedges, garden plants and grass;"
6113,"Gardeners, horticultural and nursery growers",0.115,Very Low,"Pruning and trimming trees, shrubs and hedges, installing plant supports and protection, and rolling, mowing, aerating and edging lawns;"
6113,"Gardeners, horticultural and nursery growers",0.135,Very Low,"Constructing features and facilities within gardens, such as paths or paved areas, walls, rockeries, garden beds, ponds and water features, sheds and fences;"
6113,"Gardeners, horticultural and nursery growers",0.15,Very Low,"Checking the health of plants and trees, identifying and treating weeds, pests and diseases, and applying mulch and fertilizers;"
6113,"Gardeners, horticultural and nursery growers",0.0975,Very Low,"Producing saplings, bulbs and seeds and raising plants from seeds or cuttings;"
6113,"Gardeners, horticultural and nursery growers",0.15,Very Low,"Harvesting crops and inspecting, cleaning, grading, packaging, storing and loading products for sale or delivery to market;"
6113,"Gardeners, horticultural and nursery growers",0.14,Very Low,"Maintaining buildings, greenhouses and other structures, equipment and water supply systems;"
6113,"Gardeners, horticultural and nursery growers",0.11,Very Low,Storing and carrying out some processing of produce;
6113,"Gardeners, horticultural and nursery growers",0.45,Low,"Promoting and marketing products, arranging the sale, purchase and transportation of produce and supplies, and maintaining and evaluating records of activities and transactions;"
6113,"Gardeners, horticultural and nursery growers",0.2875,Low,"Training and supervising workers in production, maintenance duties, and health and safety precautions, and hiring and discharging workers and contractors."
6114,Mixed crop growers,0.415,Low,"Monitoring market activity and conditions, determining types and quantities of crops to be grown, and planning and coordinating production accordingly;"
6114,Mixed crop growers,0.07625,Very Low,"Preparing soil by hand or machine, and spreading fertilizers and manure;"
6114,Mixed crop growers,0.106,Very Low,"Selecting and sowing seeds, and planting seedlings;"
6114,Mixed crop growers,0.11625,Very Low,"Maintaining crops by cultivating soil, by transplanting, pruning or thinning crops, trees and shrubs, and by setting up and operating irrigation equipment;"
